step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0
1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0
1,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0
1,PAYMENT,7817.71,C90045638,53860.0,46042.29,M573487274,0.0,0.0
1,PAYMENT,7107.77,C154988899,183195.0,176087.23,M408069119,0.0,0.0
1,PAYMENT,7861.64,C1912850431,176087.23,168225.59,M633326333,0.0,0.0
1,DEBIT,5337.77,C712410124,41720.0,36382.23,C195600860,41898.0,40348.79
1,DEBIT,9644.94,C1900366749,4465.0,0.0,C997608398,10845.0,157982.12
1,CASH_OUT,229133.94,C905080434,15325.0,0.0,C476402209,5083.0,51513.44
1,TRANSFER,215310.3,C1670993182,705.0,0.0,C1100439041,22425.0,0.0
1,CASH_IN,55215.25,C1959239586,0.0,55215.25,C1900548134,120309.0,65093.75
5,TRANSFER,1277212.77,C1420196421,1277212.77,0.0,C1307325706,0.0,0.0
7,CASH_OUT,110414.71,C768216420,26845.0,0.0,C1509514333,288800.0,2415314.9
10,TRANSFER,2806499.87,C1449772539,2806499.87,0.0,C1946981053,0.0,0.0
